Date,Compound - Active loans ($)
2025-09-02,1083881838.474198
2025-09-03,1090210577.700788
2025-09-04,1074241485.14826
2025-09-05,1073855353.842025
2025-09-06,1082301119.377503
2025-09-07,1095768286.635246
2025-09-08,1088163219.704229
2025-09-09,1080204308.338008
2025-09-10,1098686765.311633
2025-09-11,1221383975.953106
2025-09-12,1213926020.75846
2025-09-13,1198042954.45291
2025-09-14,1194897656.063138
2025-09-15,1226482776.788391
2025-09-16,1212253367.162039
2025-09-17,1202330755.72005
2025-09-18,1241591201.227509
2025-09-19,1233097541.148402
2025-09-20,1234032516.543119
2025-09-21,1233435564.426629
2025-09-22,1209201804.628034
2025-09-23,1209363242.095432
2025-09-24,1204661180.206148
2025-09-25,1178227283.340557
2025-09-26,1186056065.763274
2025-09-27,1180510552.027628
2025-09-28,1190902038.238626
2025-09-29,1200638982.387049
2025-09-30,1194461605.714372
2025-10-01,1208735312.081114
2025-10-02,1215637574.309124
2025-10-03,1215020691.004437
2025-10-04,1209259459.541953
2025-10-05,1205554477.889781
2025-10-06,1222035487.614215
2025-10-07,1222639590.261002
2025-10-08,1270433542.168798
2025-10-09,1261658328.358476
2025-10-10,1157983287.591191
2025-10-11,1163548306.058944
2025-10-12,1192337659.939552
2025-10-13,1198192570.457321
2025-10-14,1200603959.8213
2025-10-15,1201055848.157463
2025-10-16,1181618772.149478
2025-10-17,1129504028.030566
2025-10-18,1137009583.410632
2025-10-19,1144852207.31296
2025-10-20,1144694552.935731
2025-10-21,1153761152.304366
